Number,Date,Start time,End time,Duration,rel. Duration,Project,Description,,,,,
22,3/14/13,9:22 PM,9:35 PM,00:13:00,00:13:00,MTH 201,Did a type of problem for everything on the test tomorrow. It was only half as much as I wanted to do but a decent start I suppose.,,,,Normal,
22,3/14/13,9:58 PM,10:59 PM,01:01:00,01:01:00,MTH 201,Did a type of problem for everything on the test tomorrow. It was only half as much as I wanted to do but a decent start I suppose.,,,,Normal,
23,3/19/13,4:27 PM,5:30 PM,01:03:00,01:03:00,MTH 201,I really didn't do a lot. This should be expunged,,,,Bad,
24,3/19/13,9:14 PM,9:15 PM,00:01:00,00:01:00,MTH 201,,,,,-,
25,3/27/13,10:20 AM,11:33 AM,01:13:00,01:13:00,MTH 201,Finished project 2.,,,,-,
26,3/27/13,11:34 AM,11:35 AM,00:01:00,00:01:00,MTH 201,,,,,-,
27,3/27/13,6:48 PM,7:35 PM,00:47:00,00:47:00,MTH 201,,,,,-,
28,3/28/13,12:59 PM,1:53 PM,00:54:00,00:54:00,MTH 201,Only four problems left in web work.,,,,Good,
29,4/3/13,8:44 PM,9:36 PM,00:52:00,00:52:00,MTH 201,Completed 1-10 on web work 9,,,,Good,
30,4/4/13,5:17 PM,5:35 PM,00:18:00,00:18:00,MTH 201,Another 13 down,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Good,
30,4/4/13,5:45 PM,6:03 PM,00:18:00,00:18:00,MTH 201,Another 13 down,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Good,
30,4/4/13,6:24 PM,6:40 PM,00:16:00,00:16:00,MTH 201,Another 13 down,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Good,
31,4/5/13,7:10 AM,8:00 AM,00:50:00,00:50:00,MTH 201,Barely studied.,"4501 Luce St, Jenison, MI 49428",,,Bad,
32,4/5/13,10:16 AM,10:17 AM,00:01:00,00:01:00,MTH 201,,,,,-,
33,4/9/13,7:43 AM,8:02 AM,00:19:00,00:19:00,MTH 201,Four problems in web work.,"4501 Luce St, Jenison, MI 49428",,,Good,
34,4/9/13,8:04 AM,8:45 AM,00:41:00,00:41:00,MTH 201,Got up to number 8.,,,,Good,
35,4/10/13,8:12 AM,8:55 AM,00:43:00,00:43:00,MTH 201,Five problems down.,,,,Normal,
36,4/10/13,10:01 AM,11:17 AM,01:16:00,01:16:00,MTH 201,Made it to 21 ... Except for those two I skipped.,,,,-,
36,4/10/13,11:34 AM,11:37 AM,00:03:00,00:03:00,MTH 201,Made it to 21 ... Except for those two I skipped.,,,,-,
37,4/15/13,7:43 AM,8:26 AM,00:43:00,00:43:00,MTH 201,I got a few problems done. ,,,,Normal,
37,4/15/13,8:42 AM,8:50 AM,00:08:00,00:08:00,MTH 201,I got a few problems done. ,,,,Normal,
38,4/16/13,6:38 PM,7:24 PM,00:46:00,00:46:00,MTH 201,Currently at 33.,,,,Bad,
38,4/16/13,7:35 PM,7:43 PM,00:08:00,00:08:00,MTH 201,Currently at 33.,,,,Bad,
39,4/17/13,3:34 PM,3:41 PM,00:07:00,00:07:00,MTH 201,Finished web work 10.,,,,Good,
39,4/17/13,3:45 PM,4:11 PM,00:26:00,00:26:00,MTH 201,Finished web work 10.,,,,Good,
39,4/17/13,4:19 PM,4:35 PM,00:16:00,00:16:00,MTH 201,Finished web work 10.,,,,Good,
40,4/18/13,12:34 PM,12:57 PM,00:23:00,00:23:00,MTH 201,I finished lab 6.,,,,Good,
41,4/20/13,11:52 AM,12:59 PM,01:07:00,01:07:00,MTH 201,Finished the take home portion. Not sure if correct... ,,,,Normal,
41,4/20/13,1:04 PM,1:19 PM,00:15:00,00:15:00,MTH 201,Finished the take home portion. Not sure if correct... ,,,,Normal,
42,4/22/13,11:19 AM,12:07 PM,00:48:00,00:48:00,MTH 201,Finished my mock tests. I got this in the bag.,,,,Good,
1,2/13/13,7:26 AM,8:31 AM,01:05:00,01:05:00,MTH 225,Finished ps3,,,,Good,
2,2/14/13,7:27 AM,8:04 AM,00:37:00,00:37:00,MTH 225,Finished typing problem set 3.,,,,-,
3,2/14/13,12:31 PM,1:19 PM,00:48:00,00:48:00,MTH 225,Barely studied.,"10295 48th Ave, Allendale Charter Township, MI 49401",,,-,
3,2/14/13,1:31 PM,1:55 PM,00:24:00,00:24:00,MTH 225,Barely studied.,"10295 48th Ave, Allendale Charter Township, MI 49401",,,-,
4,2/17/13,1:46 PM,2:10 PM,00:24:00,00:24:00,MTH 225,,,,,-,
5,2/19/13,7:31 AM,8:23 AM,00:52:00,00:52:00,MTH 225,"Really read 2.1 and 2.2. I know what cardinakity is, how tobuse set builder notation, and subset notation. ",-,,,-,
6,2/19/13,11:31 AM,12:20 PM,00:49:00,00:49:00,MTH 225,,,,,-,
7,2/19/13,7:02 PM,8:39 PM,01:37:00,01:37:00,MTH 225,I finished book work from chapter 2.3 and started reading chapter 2.5.,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Normal,
7,2/19/13,10:30 PM,10:54 PM,00:24:00,00:24:00,MTH 225,I finished book work from chapter 2.3 and started reading chapter 2.5.,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Normal,
8,2/20/13,7:58 AM,8:33 AM,00:35:00,00:35:00,MTH 225,"Seven problems...
","1 N Campus Dr, Allendale Charter Township, MI 49401",,,Normal,
9,2/20/13,12:02 PM,12:29 PM,00:27:00,00:27:00,MTH 225,Almost a whole problem.,"Residence Dr, Allendale Charter Township, MI 49401",,,Normal,
10,2/20/13,8:48 PM,9:05 PM,00:17:00,00:17:00,MTH 225,A problem or two.,,,,Normal,
11,2/21/13,7:39 AM,8:27 AM,00:48:00,00:48:00,MTH 225,"Finally finished 2.4 , couldn't read more than a page in 3.1",,,,Bad,
12,2/21/13,11:19 AM,12:22 PM,01:03:00,01:03:00,MTH 225,Got lost in algorithms. Did not finish 3.1,,,,Very bad,
13,2/24/13,11:07 AM,11:24 AM,00:17:00,00:17:00,MTH 225,Made algorithms seem slightly clearer.,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Bad,
14,2/24/13,2:08 PM,2:29 PM,00:21:00,00:21:00,MTH 225,I read a tiny bit of 3.2 ,"10295 48th Ave, Allendale Charter Township, MI 49401",,,Normal,
15,2/25/13,8:13 AM,8:33 AM,00:20:00,00:20:00,MTH 225,Tiny changes in my understanding of big oh notation,"1 N Campus Dr, Allendale Charter Township, MI 49401",,,Normal,
16,2/28/13,1:54 PM,2:21 PM,00:27:00,00:27:00,MTH 225,I read ahead.,,,,Normal,
17,3/3/13,12:07 PM,1:01 PM,00:54:00,00:54:00,MTH 225,Finished 3.2,,,,Normal,
18,3/5/13,11:57 AM,1:27 PM,01:30:00,01:30:00,MTH 225,"Finished 3.3, I hope I can pass thus class.",,,,Bad,
19,3/6/13,3:55 PM,4:39 PM,00:44:00,00:44:00,MTH 225,Halfway through 3.4,,,,Good,
20,3/6/13,7:11 PM,8:25 PM,01:14:00,01:14:00,MTH 225,Finished 3.4 finally,,,,Normal,
21,3/7/13,11:37 AM,12:58 PM,01:21:00,01:21:00,MTH 225,Almost finished problem set 4. I don't really know what I'm doing so I switched tasks.,,,,Bad,
22,3/11/13,12:17 PM,12:45 PM,00:28:00,00:28:00,MTH 225,Read 3.5 early.,,,,Good,
23,3/13/13,2:18 PM,2:45 PM,00:27:00,00:27:00,MTH 225,Just got more stumped.,,,,-,
24,3/14/13,11:50 AM,1:08 PM,01:18:00,01:18:00,MTH 225,It is a shaky start but I think I'm ready for class.,,,,Bad,
25,3/18/13,8:23 AM,8:52 AM,00:29:00,00:29:00,MTH 225,Digging into 3:5 ,,,,Good,
26,3/21/13,8:24 AM,8:57 AM,00:33:00,00:33:00,MTH 225,Almost finished 3.5 bw,,,,Good,
27,3/21/13,12:39 PM,1:46 PM,01:07:00,01:07:00,MTH 225,Not past the first problem in 3.6 and only read two pages of 3.7 ,,,,Bad,
28,3/26/13,11:34 AM,11:59 AM,00:25:00,00:25:00,MTH 225,I finished a few problems in 3.6. ,,,,Good,
29,3/30/13,4:06 PM,4:30 PM,00:24:00,00:24:00,MTH 225,Checked and corrected the problems I had done and then wanted tea.,,,,Bad,
30,3/30/13,5:04 PM,5:17 PM,00:13:00,00:13:00,MTH 225,"Got stuck, needed a base converter for my calc. It took me three hours to install one.",,,,Bad,
31,4/1/13,5:41 PM,6:01 PM,00:20:00,00:20:00,MTH 225,Looked at stuff,,,,Bad,
32,4/2/13,5:09 PM,6:25 PM,01:16:00,01:16:00,MTH 225,Made it to problem 5.,,,,-,
32,4/2/13,6:37 PM,7:05 PM,00:28:00,00:28:00,MTH 225,Made it to problem 5.,,,,-,
32,4/2/13,7:28 PM,7:43 PM,00:15:00,00:15:00,MTH 225,Made it to problem 5.,,,,-,
33,4/3/13,8:14 AM,8:44 AM,00:30:00,00:30:00,MTH 225,Realized I did a problem wrong and then did another one correctly.,,,,Bad,
34,4/3/13,11:43 AM,12:10 PM,00:27:00,00:27:00,MTH 225,,,,,-,
35,4/3/13,2:44 PM,3:10 PM,00:26:00,00:26:00,MTH 225,Two problems from the study guide.,,,,Normal,
36,4/3/13,5:27 PM,8:17 PM,02:50:00,02:50:00,MTH 225,Finished 12 problems of the test 2 study guide. My mind wandered so it took awhile.,,,,Normal,
37,4/4/13,8:20 AM,8:41 AM,00:21:00,00:21:00,MTH 225,,,,,Normal,
37,4/4/13,8:43 AM,8:58 AM,00:15:00,00:15:00,MTH 225,,,,,Normal,
38,4/4/13,12:25 PM,2:09 PM,01:44:00,01:44:00,MTH 225,Some studying.,,,,Bad,
39,4/10/13,12:15 PM,12:21 PM,00:06:00,00:06:00,MTH 225,Attempted the homework for tomorrow.,"Campus Dr, Allendale Charter Township, MI 49401",,,Normal,
40,4/20/13,1:19 PM,2:27 PM,01:08:00,01:08:00,MTH 225,Finished problem set six.,,,,Normal,
41,4/22/13,12:55 PM,1:38 PM,00:43:00,00:43:00,MTH 225,Made it halfway through mock test,,,,Normal,
41,4/22/13,3:26 PM,4:15 PM,00:49:00,00:49:00,MTH 225,Made it halfway through mock test,,,,Normal,
41,4/22/13,4:56 PM,5:28 PM,00:32:00,00:32:00,MTH 225,Made it halfway through mock test,,,,Normal,
