Number,Date,Start time,End time,Duration,rel. Duration,Project,Description,Location,Notes,Tags,Feeling
26,10/22/13,3:20 PM,4:00 PM,00:40:00,00:40:00,CIS 251,Making sense of hw 6,,,,-
27,10/24/13,10:38 AM,10:58 AM,00:20:00,00:20:00,CIS 251,One problem in hw 6,"456 Lafayette Ave SE, Grand Rapids, MI 49503",,,-
28,10/24/13,11:58 AM,12:59 PM,01:01:00,01:01:00,CIS 251,Got a few mire problems done in hw6,"458 Lafayette Ave SE, Grand Rapids, MI 49503",,,-
29,10/24/13,2:40 PM,4:00 PM,01:20:00,01:20:00,CIS 251,Finished hw6,"1 N Campus Dr, Grand Valley State University, Allendale, MI 49401",,,-
30,11/7/13,12:51 PM,1:31 PM,00:40:00,00:40:00,CIS 251,Finished hw 8,,,,-
30,11/7/13,1:57 PM,2:22 PM,00:25:00,00:25:00,CIS 251,Finished hw 8,,,,-
30,11/7/13,3:16 PM,3:28 PM,00:12:00,00:12:00,CIS 251,Finished hw 8,,,,-
31,11/13/13,12:58 PM,1:51 PM,00:53:00,00:53:00,CIS 251,Little hw 10 loops,,,,-
32,11/14/13,3:30 PM,3:57 PM,00:27:00,00:27:00,CIS 251,Practice test 2,,,,-
33,11/14/13,9:23 PM,10:09 PM,00:46:00,00:46:00,CIS 251,Generated questions and reworked practice test.,,,,-
33,11/14/13,10:20 PM,11:24 PM,01:04:00,01:04:00,CIS 251,Generated questions and reworked practice test.,,,,-
34,11/15/13,6:56 PM,8:03 PM,01:07:00,01:07:00,CIS 251,Try to finish loops homework.,,,,-
35,11/19/13,5:45 PM,7:00 PM,01:15:00,01:15:00,CIS 251,Finished assembly ,,,,-
36,12/4/13,4:51 PM,5:56 PM,01:05:00,01:05:00,CIS 251,Round and around  for no reason,,,,-
37,12/4/13,6:44 PM,8:01 PM,01:17:00,01:17:00,CIS 251,Trying to make recursion work,,,,-
38,12/4/13,10:58 PM,12:00 AM,01:02:00,01:02:00,CIS 251,Almost finished hw 11,,,,-
39,12/5/13,12:50 AM,1:38 AM,00:48:00,00:48:00,CIS 251,Makin strides in hw 11,,,,-
40,12/5/13,1:38 AM,3:30 AM,01:52:00,01:52:00,CIS 251,,,,,-
41,12/5/13,1:43 PM,3:50 PM,02:07:00,02:07:00,CIS 251,Halfway thru homework 12,,,,-
1,8/28/13,10:42 AM,11:20 AM,00:38:00,00:38:00,ANT 207,Finished reading and noting chPter 1 ottenheimer. ,,,,Good
2,8/30/13,10:11 AM,10:54 AM,00:43:00,00:43:00,ANT 207,Read and noted the reading for today.,,,,-
3,9/10/13,8:19 AM,10:23 AM,02:04:00,02:04:00,ANT 207,Did reading quiz.,,,,-
3,9/10/13,10:54 AM,11:23 AM,00:29:00,00:29:00,ANT 207,Did reading quiz.,,,,-
4,9/10/13,1:45 PM,2:29 PM,00:44:00,00:44:00,ANT 207,Read some and made an outline.,,,,-
5,9/11/13,10:02 AM,11:36 AM,01:34:00,01:34:00,ANT 207,Finished biography paper.,,,,Good
6,9/18/13,10:01 AM,11:09 AM,01:08:00,01:08:00,ANT 207,Finished week four quiz.,,,,-
7,9/18/13,11:10 AM,11:54 AM,00:44:00,00:44:00,ANT 207,Number 8 7.1,-,,,Normal
8,9/20/13,10:49 AM,11:16 AM,00:27:00,00:27:00,ANT 207,Worksheet,,,,-
9,9/24/13,7:26 PM,7:37 PM,00:11:00,00:11:00,ANT 207,Read some of chapter four.,,,,-
10,9/25/13,8:08 AM,8:14 AM,00:06:00,00:06:00,ANT 207,I'm falling asleep between lines of text,,,,-
11,9/27/13,8:37 AM,8:50 AM,00:13:00,00:13:00,ANT 207,Finished chapter four,-,,,-
12,9/30/13,11:14 AM,11:58 AM,00:44:00,00:44:00,ANT 207,Started the assignment due friday.,,,,-
13,9/30/13,4:14 PM,4:38 PM,00:24:00,00:24:00,ANT 207,Read some of ottenhiemer chPyer six.,,,,-
14,10/2/13,7:56 AM,8:21 AM,00:25:00,00:25:00,ANT 207,Pg 181 ch 6. Ott,,,,-
15,10/2/13,10:07 AM,10:49 AM,00:42:00,00:42:00,ANT 207,Finished readings and quiz,,,,-
15,10/2/13,11:07 AM,11:49 AM,00:42:00,00:42:00,ANT 207,Finished readings and quiz,,,,-
16,10/3/13,8:35 PM,9:13 PM,00:38:00,00:38:00,ANT 207,Started writing hw 4,,,,-
17,10/4/13,8:21 AM,8:24 AM,00:03:00,00:03:00,ANT 207,Nothing,,,,-
18,10/7/13,10:28 AM,11:36 AM,01:08:00,01:08:00,ANT 207,Studying for midterm.,,,,-
19,10/23/13,7:53 AM,8:01 AM,00:08:00,00:08:00,ANT 207,Some ch 9 on bus,"516 Parkside Ave NW, Grand Rapids, MI 49534",,,-
20,10/23/13,10:08 AM,11:16 AM,01:08:00,01:08:00,ANT 207,Read and quiz on ch 9 ott and labov article,"1 N Campus Dr, Allendale Charter Township, MI 49401",,,-
21,10/28/13,7:15 AM,7:38 AM,00:23:00,00:23:00,ANT 207,Finished lippi & Preston reading & quiz,"127 Front Ave SW, Grand Rapids, MI 49504",,,-
21,10/28/13,7:50 AM,8:10 AM,00:20:00,00:20:00,ANT 207,Finished lippi & Preston reading & quiz,"127 Front Ave SW, Grand Rapids, MI 49504",,,-
22,11/1/13,10:42 AM,11:04 AM,00:22:00,00:22:00,ANT 207,Wrote some if rough draft,"10910 Residence Dr, Allendale Charter Township, MI 49401",,,-
22,11/1/13,11:09 AM,11:33 AM,00:24:00,00:24:00,ANT 207,Wrote some if rough draft,"10910 Residence Dr, Allendale Charter Township, MI 49401",,,-
22,11/1/13,11:40 AM,11:59 AM,00:19:00,00:19:00,ANT 207,Wrote some if rough draft,"10910 Residence Dr, Allendale Charter Township, MI 49401",,,-
23,11/2/13,5:17 PM,5:42 PM,00:25:00,00:25:00,ANT 207,Finished hw 4,"458 Lafayette Ave SE, Grand Rapids, MI 49503",,,-
23,11/2/13,6:00 PM,6:22 PM,00:22:00,00:22:00,ANT 207,Finished hw 4,"458 Lafayette Ave SE, Grand Rapids, MI 49503",,,-
23,11/2/13,6:39 PM,7:03 PM,00:24:00,00:24:00,ANT 207,Finished hw 4,"458 Lafayette Ave SE, Grand Rapids, MI 49503",,,-
23,11/2/13,7:07 PM,8:03 PM,00:56:00,00:56:00,ANT 207,Finished hw 4,"458 Lafayette Ave SE, Grand Rapids, MI 49503",,,-
23,11/2/13,8:23 PM,8:47 PM,00:24:00,00:24:00,ANT 207,Finished hw 4,"458 Lafayette Ave SE, Grand Rapids, MI 49503",,,-
23,11/2/13,10:11 PM,10:26 PM,00:15:00,00:15:00,ANT 207,Finished hw 4,"458 Lafayette Ave SE, Grand Rapids, MI 49503",,,-
24,11/6/13,10:55 AM,11:39 AM,00:44:00,00:44:00,ANT 207,Utterly failed a test,,,,-
25,11/18/13,11:31 AM,11:57 AM,00:26:00,00:26:00,ANT 207,Read some of an article.,,,,-
26,11/18/13,1:14 PM,1:49 PM,00:35:00,00:35:00,ANT 207,Read the article for today,,,,-
27,11/20/13,10:43 AM,11:07 AM,00:24:00,00:24:00,ANT 207,Read half of the article for quiz,"1 N Campus Dr, Allendale Charter Township, MI 49401",,,-
27,11/20/13,11:19 AM,11:44 AM,00:25:00,00:25:00,ANT 207,Read half of the article for quiz,"1 N Campus Dr, Allendale Charter Township, MI 49401",,,-
28,11/23/13,1:02 PM,1:11 PM,00:09:00,00:09:00,ANT 207,Sat a blank screen,"301-313 Logan St SE, Grand Rapids, MI 49503",,,-
29,11/23/13,5:22 PM,5:48 PM,00:26:00,00:26:00,ANT 207,Wrote a little for hw 5.,"301-313 Logan St SE, Grand Rapids, MI 49503",,,-
29,11/23/13,5:51 PM,5:51 PM,00:00:00,00:00:00,ANT 207,Wrote a little for hw 5.,"301-313 Logan St SE, Grand Rapids, MI 49503",,,-
30,11/23/13,6:38 PM,7:28 PM,00:50:00,00:50:00,ANT 207,Finished a shity paper,"458 Lafayette Ave SE, Grand Rapids, MI 49503",,,-
31,11/25/13,1:28 PM,1:40 PM,00:12:00,00:12:00,ANT 207,Read some article about barrack.,,,,-
32,12/2/13,11:22 AM,11:55 AM,00:33:00,00:33:00,ANT 207,Read chapter ten,,,,-
33,12/8/13,7:37 PM,8:02 PM,00:25:00,00:25:00,ANT 207,Finished the final essays.,,,,-
33,12/8/13,8:08 PM,8:33 PM,00:25:00,00:25:00,ANT 207,Finished the final essays.,,,,-
33,12/8/13,8:38 PM,9:18 PM,00:40:00,00:40:00,ANT 207,Finished the final essays.,,,,-
33,12/8/13,9:49 PM,10:15 PM,00:26:00,00:26:00,ANT 207,Finished the final essays.,,,,-
33,12/8/13,10:20 PM,10:45 PM,00:25:00,00:25:00,ANT 207,Finished the final essays.,,,,-
33,12/8/13,11:43 PM,1:00 AM,01:17:00,01:17:00,ANT 207,Finished the final essays.,,,,-
33,12/9/13,1:26 AM,1:59 AM,00:33:00,00:33:00,ANT 207,Finished the final essays.,,,,-
33,12/9/13,2:02 AM,2:29 AM,00:27:00,00:27:00,ANT 207,Finished the final essays.,,,,-
